objectid,title,classification,iiifurl,iiifthumburl,openaccess,portrait_like
95659,The Fall of Man,Painting,https://api.nga.gov/iiif/7687de47-8722-4522-982d-095d666cacd8,"https://api.nga.gov/iiif/7687de47-8722-4522-982d-095d666cacd8/full/!200,200/0/default.jpg",1,True
97663,Young Girl at a Window,Painting,https://api.nga.gov/iiif/11262392-5f97-4c84-89b1-2239b14a20d0,"https://api.nga.gov/iiif/11262392-5f97-4c84-89b1-2239b14a20d0/full/!200,200/0/default.jpg",1,True
98872,Study of Clouds over the Roman Campagna,Painting,https://api.nga.gov/iiif/049b735e-a9a4-46d9-9754-ef2a5baa1910,"https://api.nga.gov/iiif/049b735e-a9a4-46d9-9754-ef2a5baa1910/full/!200,200/0/default.jpg",1,True
100922,A Pier Overlooking Dordrecht,Painting,https://api.nga.gov/iiif/d7c0003d-0fb4-4412-a35c-9338fbe8c3b1,"https://api.nga.gov/iiif/d7c0003d-0fb4-4412-a35c-9338fbe8c3b1/full/!200,200/0/default.jpg",1,True
101676,Saint Margaret of Cortona,Painting,https://api.nga.gov/iiif/fad4efef-2e74-4f11-b6d3-2d023a2bf8ab,"https://api.nga.gov/iiif/fad4efef-2e74-4f11-b6d3-2d023a2bf8ab/full/!200,200/0/default.jpg",1,True
101678,Madonna of the Goldfinch,Painting,https://api.nga.gov/iiif/99abcddc-e304-4c9d-9101-5a3261e0e001,"https://api.nga.gov/iiif/99abcddc-e304-4c9d-9101-5a3261e0e001/full/!200,200/0/default.jpg",1,True
102629,Saint Catherine [right wing exterior],Painting,https://api.nga.gov/iiif/2f431fe3-d517-47af-9d01-de6fbce488b0,"https://api.nga.gov/iiif/2f431fe3-d517-47af-9d01-de6fbce488b0/full/!200,200/0/default.jpg",1,True
102630,Saint Barbara [left wing exterior],Painting,https://api.nga.gov/iiif/e8999858-d161-4e7d-83c6-f8ea5ebeeabc,"https://api.nga.gov/iiif/e8999858-d161-4e7d-83c6-f8ea5ebeeabc/full/!200,200/0/default.jpg",1,True
106362,The Martyrdom of Saint Lawrence,Painting,https://api.nga.gov/iiif/a397a12f-ba08-4586-bf9d-9d8c099fbdf9,"https://api.nga.gov/iiif/a397a12f-ba08-4586-bf9d-9d8c099fbdf9/full/!200,200/0/default.jpg",1,True
106382,Self-Portrait,Painting,https://api.nga.gov/iiif/54ee6643-e0f9-4b92-a1d2-441e5108724d,"https://api.nga.gov/iiif/54ee6643-e0f9-4b92-a1d2-441e5108724d/full/!200,200/0/default.jpg",1,True
